name,description,property_type_name,province_name,district_name,ward_name,street_name,project_name,price,area,floor_count,frontage_width,house_depth,road_width,bedroom_count,bathroom_count,house_direction,balcony_direction,published_at,latitude,longitude
"Bán nhanh nhà 6 tầng thang máy, ngoạ long cầu diễn, ôtô đỗ cổng, giá: 7.45 tỷ, lh [phone_number]","- Vị trí siêu đẹp ô tô đỗ cổng, khu vực đang phát triển mạnh, tiện ích xung quanh đầy đủ, Gần chợ, Gần trường học các cấp, Bãi gửi xe, Gần trường đại học công nghiệp. - Nhà xây mới thiết kế hiện đại tặng full nội thất, 4 phòng ngủ rộng, công năng sử dụng đầy đủ. - Giao thông thuận tiện đi lại kết nối với các tuyến đường lớn, Đường Văn Tiến Dũng, Cầu Diễn, Ql32, Xuân Phương, Trịnh Văn Bô. - Pháp lý sổ đỏ chính chủ. - Giá: 7.45 tỷ (có thương lượng) + LH Em Vân [phone_number] để đi xem nhà thực tế.",Nhà,Hà Nội,Bắc Từ Liêm,Phúc Diễn,Ngọa Long,,6907279250,37.0,4.0,,,,4.0,5.0,,,2025-06-01T05:12:56.941000,21.089039,105.755218
Bán gấp nhà mặt tiền 4 tầng khu phân lô Tạ Quang Bửu,"Nhà 4 tầng mặt tiền KDC Tạ Quang Bửu P5 Q8. - Diện tích: 4m x 12m. - Kết cấu: 1 trệt, 2 lầu, sân thượng, 3 PN, 3 toilet. - MT đường 8m có lề thông khu Bông Sao, tiện kinh doanh mua bán. Sổ hồng hoàn công. Giá: 9 tỷ 100 triệu TL. LH: [phone_number] Tú.",Nhà,Hồ Chí Minh,8,5,Tạ Quang Bửu,,9367748000,48.0,4.0,4.0,,,3.0,3.0,,,2025-06-06T04:37:25.903000,10.726298,106.62971
"Bán biệt thự 300m2 gần sân bóng Bình Minh, đường rộng, nội thất đầy đủ","Bán biệt thự Bình Minh diện tích hơn 300 mét vuông, vị trí ngay gần sân bóng Bình Minh. Đường và vỉa hè rộng rãi, thông thoáng. Nhà đầy đủ nội thất và công năng. Giá bán: 20 tỷ, có thể thương lượng nếu có thiện chí. Liên hệ: [phone_number] để biết thêm thông tin chi tiết.",Biệt thự/Nhà liền kề,Vĩnh Long,Bình Minh,,,,13416312500,300.0,4.0,,,,4.0,5.0,,,2025-06-15T18:58:07.455000,10.25849,105.98028
"Cần bán căn hộ CC Thái An, Nguyễn Văn Quá, Q12. Giá 1,3 tỷ 44m2 1PN","Chung cư Thái An đường Nguyễn Văn Quá, Đông Hưng Thuận, Quận 12. - Diện tích 44m², 1PN 1WC nhà full nội thất mới dọn sẵn sàng vào ở ngay. - Giá 1,3 tỷ. Địa điểm xung quanh: - Bệnh viện đa khoa tâm trí Sài Gòn. - Khuôn viên cây xanh mát mẻ có hồ bơi, phòng gym. - Gần chợ, siêu thị Bách Hóa Xanh.",Căn hộ chung cư,Hồ Chí Minh,12,Đông Hưng Thuận,Nguyễn Văn Quá,Thái An Apartment,3733761200,44.0,7.0,,,,1.0,1.0,,,2025-06-17T05:32:15.491000,10.85813,106.630195
"MTKD p.Tân Thành, Tân Phú, dt 4x15m sẵn hợp đồng thuê giá chỉ 9 tỷ hơn","MTKD p.Tân Thành, Tân Phú, dt 4x15m sẵn hợp đồng thuê giá chỉ 9 tỷ hơn Chuyển công tác cần bán nhà chính chủ ngay mặt tiền kinh doanh, p. Tân Thành, Tân Phú Diện tích: 4x15m Kết cấu: 1 trệt 2 lầu Vị trí ngay mặt tiền kinh doanh, đường rộng đẹp sáng, xe hơi thoải mái, xung quanh các tiện ích đầy đủ. Đang cho thuê 12tr/th Giá chỉ 9,2 tỷ còn thương lượng cho khách thiện chí Liên hệ: em Ly [phone_number]hỗ trợ tư vấn miễn phí 24/7 qua Viber - Zalo) BĐS chuyên nhà phố, mặt tiền kinh doanh Quận Tân Phú BĐS chuyên nhà phốm mặt tiền kinh doanh Quận Tân Bình Chuyên nhận ký gởi, mua bán, cho thuê BĐS",Nhà,Hồ Chí Minh,Tân Phú,Tân Thành,Nguyễn Hậu,,10801215000,60.0,4.0,,,,2.0,3.0,,,2025-06-06T04:06:17.378000,10.798576,106.640688
"Bán lô đất đường đỗ quỳ, hướng đông nam, gần cầu hòa xuân","BÁN LÔ ĐẤT ĐƯỜNG ĐỖ QUỲ, HÒA XUÂN - lô đất nằm trên trục đường thông - vị trí ; b1.136 lô 27 giá 5ty250 - hướng đông nam - đường 7m5, lề 4m - diện tích ; 100m ( 5 x 20 ) - lh Nhi ; [phone_number] thương lượng chính chủ",Đất,Đà Nẵng,Cẩm Lệ,Hòa Xuân,Đỗ Tự,,6546000000,100.0,0.0,5.0,,,0.0,0.0,Đông Nam,,2025-06-23T10:44:42.176000,16.002473,108.189366
"Bán nhà đường Cộng Hòa, ngay ga T3, 77m2, 5PN chỉ 7,15tỷ","- Nói không với tin ảo, bán nhà thật gọi là đi xem nhà, AE môi giới và quảng cáo xin đừng gọi cảm ơn. - Pháp lý chuẩn, công chứng ngay. - Diện tích 77m2, trệt lầu, 5PN, 3WC. - Nhà hẻm an ninh, sạch sẽ, thoáng. - Vị trí VIP phường 13, Tân Bình khu dân trí cao, ngập tràn tiện ích. - Gọi ngay cho Anh Bảo chuyên nhà phố để xem nhà thực tế và tư vấn pháp lý. - Jbkb5052.",Nhà,Hồ Chí Minh,Tân Bình,13,Cộng Hòa,,12618856250,77.0,4.0,,,,5.0,3.0,,,2025-06-23T05:26:50.296000,10.802878,106.65518
Bán căn view xéo biển toà OC1B MTVT,"BÁN CĂN HỘ VIEW XÉO BIỂN, Tại địa chỉ : 03 Phạm Văn Đồng- Toà nhà oc1B Mường Thanh Viễn Triều Tầng 38 Có Bãi Tắm Biển trước nhà- tiện ích xung quanh- dưới nhà có siêu thị- trường học- thuận tiện đi lại DIỆN TÍCH: 59m2 GỒM CÓ : 2 phòng ngủ, 2wc THIẾT KẾ theo phong cách Bắc Âu- Có thể cho thuê với dòng tiền lên đến 10- 12 triệu/ tháng Giá bán hấp dẫn : 2tỷ650 triệu Bao toàn bộ thuế phí Giá tốt cho khách hàng thiện chí",Căn hộ chung cư,Khánh Hòa,Nha Trang,Vĩnh Phước,,Mường Thanh Viễn Triều,2844160000,59.0,7.0,,,,2.0,2.0,,,2025-06-29T13:42:03.190000,12.229997,109.207188
Cần bán gấp nhà sổ riêng với 400triệu - Gần trạm thu phí Tân Phong Tp Biên Hoà [phone_number],"Cần bán gấp nhà sổ riêng với 400triệu - Gần trạm thu phí Tân Phong Tp Biên Hoà [phone_number] DT : 90-100m2 Kết cấu 3Phòng ngủ sân xe hơi Gần chợ, trường học Ubnd, đường xe hơi - Khu dân trí cao, đường xe hơi thông Cần 400 triệu là nhận nhà, ngân hàng hổ trợ vay 70% Trọn gói không vay ngân hàng nhà sổ riêng thổ cư thấp nhất 1tỷ 250 Đường 5m thông, điện riêng, nước máy Ngay Ubnd, gần chợ, trường học, dân cư đông đúc Lh: [phone_number]",Nhà,Đồng Nai,Biên Hòa,Tân Phong,1,,3550048000,90.0,4.0,5.0,,,2.0,1.0,,,2025-06-13T11:10:33.556000,10.946893,106.849488
"Bán nhà C4 siêu rộng 105m2 - đường Tây Thạnh, Quận Tân Phú","Đỉnh phẩm đất vàng Tây Thạnh nhà cấp 4 siêu rộng 7m vị trí vàng đầu tư sinh lời khủng. Vị trí: Tây Thạnh, Quận Tân Phú. Diện tích: 7 x 14.5m, vuông vức, sổ pháp lý chuẩn. Nhà cấp 4, vào ở ngay, phù hợp làm kho hoặc phân lô xây dựng cao tầng. Gần mặt tiền Tây Thạnh, khu an ninh, dân trí cao. Pháp lý minh bạch, công chứng nhanh. Giá: 7.7 tỷ thương lượng.",Nhà,Hồ Chí Minh,Tân Phú,Tây Thạnh,Tây Thạnh,,16107148750,105.0,4.0,7.0,,,3.0,2.0,,,2025-06-28T04:50:23.735000,10.805113,106.644639
