name,description,property_type_name,province_name,district_name,ward_name,street_name,project_name,area,floor_count,bedroom_count,bathroom_count,latitude,longitude,price,is_market_coverage
Biệt thự/Nhà liền kề Trung tâm An Giang,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,An Giang,Trung tâm,,,,45.0,1.0,2.0,4.0,10.54633,105.126049,1535923647,True
Biệt thự/Nhà liền kề Trung tâm An Giang,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,An Giang,Trung tâm,,,,60.0,3.0,3.0,3.0,10.511034,105.109772,2296348493,True
Biệt thự/Nhà liền kề Trung tâm An Giang,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,An Giang,Trung tâm,,,,80.0,3.0,1.0,2.0,10.545991,105.127914,3090745798,True
Biệt thự/Nhà liền kề Trung tâm An Giang,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,An Giang,Trung tâm,,,,120.0,4.0,1.0,3.0,10.539937,105.134882,4376390608,True
Biệt thự/Nhà liền kề Trung tâm An Giang,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,An Giang,Trung tâm,,,,180.0,2.0,5.0,1.0,10.504961,105.109161,6422755521,True
Căn hộ chung cư Trung tâm An Giang,Coverage row generated from market priors and Hugging Face schema.,Căn hộ chung cư,An Giang,Trung tâm,,,,45.0,4.0,4.0,3.0,10.510175,105.122719,948256547,True
Căn hộ chung cư Trung tâm An Giang,Coverage row generated from market priors and Hugging Face schema.,Căn hộ chung cư,An Giang,Trung tâm,,,,60.0,2.0,3.0,4.0,10.533853,105.102367,1112454543,True
Căn hộ chung cư Trung tâm An Giang,Coverage row generated from market priors and Hugging Face schema.,Căn hộ chung cư,An Giang,Trung tâm,,,,80.0,1.0,4.0,4.0,10.525744,105.105241,1513921576,True
Căn hộ chung cư Trung tâm An Giang,Coverage row generated from market priors and Hugging Face schema.,Căn hộ chung cư,An Giang,Trung tâm,,,,120.0,2.0,5.0,3.0,10.529803,105.131323,2343073156,True
Căn hộ chung cư Trung tâm An Giang,Coverage row generated from market priors and Hugging Face schema.,Căn hộ chung cư,An Giang,Trung tâm,,,,180.0,2.0,2.0,1.0,10.520014,105.14191,3506866696,True
Nhà Trung tâm An Giang,Coverage row generated from market priors and Hugging Face schema.,Nhà,An Giang,Trung tâm,,,,45.0,2.0,3.0,4.0,10.53393,105.147364,1339961177,True
Nhà Trung tâm An Giang,Coverage row generated from market priors and Hugging Face schema.,Nhà,An Giang,Trung tâm,,,,60.0,5.0,3.0,4.0,10.506372,105.134597,1899501062,True
